city,date,temperature_2m,wind_speed_10m,precipitation
London,2026-06-02 07:00:00+00:00,15.106501,12.24,0.2
London,2026-06-02 08:00:00+00:00,14.856501,13.679999,1.2
London,2026-06-02 09:00:00+00:00,14.4565,8.64,2.0
London,2026-06-02 10:00:00+00:00,15.6565,8.64,0.4
London,2026-06-02 11:00:00+00:00,17.1065,6.8399997,0.0
London,2026-06-02 12:00:00+00:00,18.1065,12.959999,0.4
London,2026-06-02 13:00:00+00:00,19.7565,9.36,0.0
London,2026-06-02 14:00:00+00:00,16.706501,19.08,0.7
London,2026-06-02 15:00:00+00:00,16.2565,15.119999,0.1
London,2026-06-02 16:00:00+00:00,17.2565,15.84,0.0
London,2026-06-02 17:00:00+00:00,15.2565,15.119999,3.9
London,2026-06-02 18:00:00+00:00,15.5065,12.599999,0.0
London,2026-06-02 19:00:00+00:00,16.456501,14.759999,0.0
London,2026-06-02 20:00:00+00:00,16.1065,9.72,0.0
London,2026-06-02 21:00:00+00:00,15.8065,11.159999,0.0
London,2026-06-02 22:00:00+00:00,15.2065,12.959999,0.0
London,2026-06-02 23:00:00+00:00,14.7065,13.32,0.0
New York,2026-05-27 00:00:00+00:00,22.5135,11.090103,0.0
New York,2026-05-27 01:00:00+00:00,21.213501,7.172949,0.0
New York,2026-05-27 02:00:00+00:00,19.963501,5.1919937,0.0
New York,2026-05-27 03:00:00+00:00,19.1135,9.531505,0.0
New York,2026-05-27 04:00:00+00:00,20.1135,6.297428,0.0
New York,2026-05-27 05:00:00+00:00,19.0135,6.6087217,0.0
New York,2026-05-27 06:00:00+00:00,19.3635,12.496718,0.0
New York,2026-05-27 07:00:00+00:00,18.963501,10.182337,0.0
New York,2026-05-27 08:00:00+00:00,18.963501,7.653705,0.0
New York,2026-05-27 09:00:00+00:00,19.063501,6.989936,0.0
New York,2026-05-27 10:00:00+00:00,19.0135,6.830519,0.0
New York,2026-05-27 11:00:00+00:00,20.4135,9.339208,0.0
New York,2026-05-27 12:00:00+00:00,20.8635,12.413477,0.0
New York,2026-05-27 13:00:00+00:00,21.713501,10.296251,0.0
New York,2026-05-27 14:00:00+00:00,23.7635,12.682018,0.0
New York,2026-05-27 15:00:00+00:00,22.463501,11.592895,0.0
New York,2026-05-27 16:00:00+00:00,24.313501,14.982228,0.0
New York,2026-05-27 17:00:00+00:00,25.2635,14.529915,0.0
New York,2026-05-27 18:00:00+00:00,25.6635,15.30741,0.0
New York,2026-05-27 19:00:00+00:00,27.2635,14.277983,0.0
New York,2026-05-27 20:00:00+00:00,28.213501,14.255272,0.0
New York,2026-05-27 21:00:00+00:00,28.713501,17.429354,0.0
New York,2026-05-27 22:00:00+00:00,28.7635,18.584509,0.0
New York,2026-05-27 23:00:00+00:00,28.563501,17.974781,0.0
New York,2026-05-28 00:00:00+00:00,27.313501,13.783817,0.0
New York,2026-05-28 01:00:00+00:00,25.4135,12.229406,0.0
New York,2026-05-28 02:00:00+00:00,24.213501,12.879752,0.0
New York,2026-05-28 03:00:00+00:00,24.0135,7.5685663,0.0
New York,2026-05-28 04:00:00+00:00,23.213501,15.986593,0.0
New York,2026-05-28 05:00:00+00:00,23.213501,17.873556,0.0
New York,2026-05-28 06:00:00+00:00,21.9135,16.375053,0.0
New York,2026-05-28 07:00:00+00:00,20.813501,12.10157,0.0
New York,2026-05-28 08:00:00+00:00,20.313501,13.0447235,0.0
New York,2026-05-28 09:00:00+00:00,19.9135,9.504273,0.0
New York,2026-05-28 10:00:00+00:00,18.8635,8.891343,0.0
New York,2026-05-28 11:00:00+00:00,19.313501,7.42159,0.0
New York,2026-05-28 12:00:00+00:00,20.563501,14.20062,0.0
New York,2026-05-28 13:00:00+00:00,21.813501,15.94601,0.0
New York,2026-05-28 14:00:00+00:00,23.1635,14.799459,0.0
New York,2026-05-28 15:00:00+00:00,24.313501,14.458382,0.0
New York,2026-05-28 16:00:00+00:00,25.3635,21.479664,0.0
New York,2026-05-28 17:00:00+00:00,23.1135,15.986595,0.0
New York,2026-05-28 18:00:00+00:00,23.4135,20.892412,0.0
New York,2026-05-28 19:00:00+00:00,25.063501,22.26768,0.0
New York,2026-05-28 20:00:00+00:00,23.5135,24.993437,0.0
New York,2026-05-28 21:00:00+00:00,22.8635,24.850431,0.0
New York,2026-05-28 22:00:00+00:00,22.0135,24.86868,0.0
New York,2026-05-28 23:00:00+00:00,22.0135,25.006397,0.0
New York,2026-05-29 00:00:00+00:00,20.1135,19.881649,0.0
New York,2026-05-29 01:00:00+00:00,19.5135,18.532135,0.0
New York,2026-05-29 02:00:00+00:00,18.7635,16.489416,0.0
New York,2026-05-29 03:00:00+00:00,17.213501,17.373497,0.0
New York,2026-05-29 04:00:00+00:00,16.7635,10.44,0.0
New York,2026-05-29 05:00:00+00:00,15.513499,11.792404,0.0
New York,2026-05-29 06:00:00+00:00,15.763499,13.276144,0.0
New York,2026-05-29 07:00:00+00:00,14.813499,8.891343,0.0
New York,2026-05-29 08:00:00+00:00,14.1135,7.0911775,0.0
New York,2026-05-29 09:00:00+00:00,13.6635,10.296251,0.0
New York,2026-05-29 10:00:00+00:00,13.6135,8.287822,0.0
New York,2026-05-29 11:00:00+00:00,15.1135,11.212135,0.0
New York,2026-05-29 12:00:00+00:00,16.5135,12.4811535,0.0
New York,2026-05-29 13:00:00+00:00,18.1635,12.24,0.0
New York,2026-05-29 14:00:00+00:00,19.7635,8.669949,0.0
New York,2026-05-29 15:00:00+00:00,21.9135,11.720751,0.0
New York,2026-05-29 16:00:00+00:00,23.3635,11.212135,0.0
New York,2026-05-29 17:00:00+00:00,24.4135,15.188415,0.0
New York,2026-05-29 18:00:00+00:00,24.963501,16.215992,0.0
New York,2026-05-29 19:00:00+00:00,25.1635,18.331741,0.0
New York,2026-05-29 20:00:00+00:00,25.2635,18.847641,0.0
New York,2026-05-29 21:00:00+00:00,25.6135,17.81909,0.0
New York,2026-05-29 22:00:00+00:00,25.4135,15.141414,0.0
